breathe
respire
choke
hyperventilate
aspirate
burp
hiccup
sigh
exhale
hold
sneeze
inhale
pant
cough
hack
expectorate
snort
wheeze
puff
blow
insufflate
yawn
sniff
blink
palpebrate
bat
wink
squint
wince
shed
desquamate
twitch
fibrillate
act
presume
vulgarize
optimize
quack
menace
make
swagger
freeze
wanton
romanticize
sentimentalise
bungle
play
stooge
shake
shiver
rest
sleep
bundle
snooze
nap
oversleep
hibernate
estivate
drowse
nod
snore
doss
awaken
reawaken
affect
attack
ulcerate
wake
hypnotize
entrance
anesthetize
etherize
cocainize
chloroform
sedate
stimulate
cathect
faint
animate
refresh
freshen
tense
crick
relax
unbend
stretch
spread
exsert
hyperextend
crane
invigorate
smile
dimple
grin
beam
smirk
fleer
bray
bellylaugh
roar
snicker
giggle
break
cramp
cackle
guffaw
chuckle
laugh
convulse
cachinnate
sneer
frown
glower
stare
look
scowl
shrug
clap
grimace
pout
shower
foment
bathe
cleanse
wash
scrub
soap
gargle
shave
epilate
razor
tonsure
douche
comb
slick
dress
bob
pompadour
marcel
wave
gauffer
perm
mousse
pomade
tease
groom
highlight
lipstick
rouge
condition
floss
shampoo
powder
talc
manicure
barber
pedicure
perfume
preen
prank
overdress
enrobe
prim
bedizen
prink
reduce
gain
round
hat
bonnet
wear
cover
jacket
frock
shirt
habit
vesture
underdress
corset
shoe
undress
scarf
coat
cross
costume
dandify
vest
inseminate
stratify
quicken
impregnate
inoculate
pollinate
conceive
nick
beget
ejaculate
reproduce
propagate
vegetate
fructify
breed
pullulate
spawn
spat
labor
twin
drop
foal
cub
kitten
lamb
litter
whelp
farrow
fawn
calve
expect
miscarry
abort
brood
alter
defeminize
emasculate
caponize
geld
vasectomize
sterilize
face
trephine
menstruate
ovulate
antisepticize
autoclave
hatch
irritate
inflame
soothe
relieve
massage
hurt
indispose
suffer
have
wail
cry
bawl
tear
sob
snivel
sweat
superfetate
exude
distill
reek
transpire
extravasate
stream
gum
secrete
water
swelter
injure
trample
concuss
calk
trouble
torture
rack
martyr
pull
urinate
wet
stale
excrete
evacuate
suction
purge
stool
dung
constipate
obstipate
exhaust
frazzle
overtire
tire
vomit
spew
gag
gnash
ail
treat
correct
detox
irrigate
iodize
doctor
vet
nurse
manipulate
administer
transfuse
digitalize
help
comfort
remedy
poultice
bandage
ligate
strap
splint
venesect
medicate
drug
dope
soup
overdose
narcotize
anoint
salve
bleed
inject
infuse
immunize
cup
sicken
wan
contract
catch
poison
intoxicate
infect
superinfect
smut
disinfect
chlorinate
canker
traumatize
shock
galvanize
mutilate
maim
twist
subluxate
cripple
hamstring
disable
hock
devolve
recuperate
relapse
languish
waste
atrophy
hypertrophy
fledge
grow
regrow
spring
sprout
leaf
pod
teethe
cut
ankylose
pupate
fester
draw
suppurate
necrose
regenerate
rejuvenate
resuscitate
boot
resurrect
scab
heal
granulate
exercise
train
tumble
roll
limber
tone
fart
snuffle
spit
splutter
stub
harm
salivate
drivel
blush
pale
etiolate
tan
suntan
sun
sunburn
generalize
metastasize
emit
joke
clown
feel
suffocate
gown
jaundice
piffle
call
fracture
refracture
give
pack
snuff
froth
lather
change
shade
gel
brutalize
caramelize
rasterize
convert
humify
verbalize
creolize
sporulate
novelize
deaden
opalize
receive
reconvert
malt
stay
continue
differentiate
speciate
dedifferentiate
mutate
arterialize
revert
render
get
alternate
spell
interchange
counterchange
vascularize
decrepitate
crackle
suburbanize
modulate
avianize
move
step
scroll
glaze
revolutionize
turn
bald
sensualize
barbarize
alkalinize
mythologize
allegorize
demythologize
bring
secularize
rubberize
coarsen
anodize
citrate
equilibrate
leave
repercuss
redound
bacterize
commutate
alchemize
alcoholize
individuate
tie
terrace
fork
constellate
shape
tabulate
dimension
strike
crystallize
culminate
sliver
ridge
plume
conglobate
form
scallop
square
purse
pooch
fall
suspend
resuspend
sober
become
work
adjust
follow
readjust
proportion
reconstruct
readapt
decrease
shrink
taper
vanish
increase
suppress
extend
augment
enlarge
rise
soar
jump
accrue
bull
spike
explode
pyramid
advance
snowball
raise
accumulate
backlog
accrete
assimilate
acculturate
detribalize
dissimilate
rectify
utilize
commute
capitalize
overcapitalize
transduce
replace
refurbish
gentrify
revamp
retread
renovate
revitalize
vitalize
ruggedize
consolidate
proof
bombproof
bulletproof
child
goofproof
fireproof
weatherproof
devitalize
eviscerate
reincarnate
reform
surge
revive
republish
modify
attemper
syncopate
update
cream
enrich
redevelop
deprive
fail
disestablish
remove
harvest
tip
stem
extirpate
enucleate
exenterate
decorticate
bail
strip
ablate
clean
winnow
pick
clear
muck
lift
uncloak
pit
seed
unhinge
shuck
hull
crumb
burl
bus
scavenge
hypophysectomize
degas
husk
bur
unclutter
clutter
clog
brim
add
adjoin
include
mix
dash
butylate
nitrate
tank
oxygenate
mercerize
back
fluoridate
creosote
carbonate
camphorate
bromate
ammoniate
welt
insert
plug
inset
glass
catheterize
launder
intersperse
interleave
feed
slip
foist
intercalate
punctuate
concatenate
string
flick
activate
biodegrade
inactivate
deactivate
reactivate
obtund
petrify
enliven
spirit
compound
totalize
recombine
milk
denude
stump
defoliate
deforest
burn
frost
scald
declaw
defang
dehorn
disbud
bone
disembowel
shell
tusk
scalp
moderate
mitigate
qualify
remodel
debug
edit
bowdlerize
interpolate
falsify
tame
chasten
corrupt
pervert
abuse
worsen
lapse
better
brisk
upgrade
recondition
degrade
emend
deteriorate
decay
decompose
digest
dissociate
hang
spoil
addle
mold
dry
exsiccate
dehydrate
conserve
lyophilize
preserve
tin
pickle
salt
marinade
decoct
can
hydrate
slack
air
bedew
spin
spray
humidify
dehumidify
drench
brine
bedraggle
bate
ret
flood
flow
lave
inundate
moisten
moil
parch
rough
lubricate
drip
scorch
lock
unlock
engage
disengage
strengthen
attenuate
substantiate
restrengthen
undergird
confirm
sandbag
fortify
reinforce
buttress
line
vouch
bolster
weaken
melt
die
collapse
fade
depress
unbrace
dilute
rarefy
intensify
build
redouble
fan
blunt
bloody
hose
sprinkle
moonshine
enhance
potentiate
mushroom
undergrow
exfoliate
overgrow
subside
pare
restrict
develop
gate
rule
baffle
carry
limit
number
cap
hamper
abridge
concentrate
deoxidize
benficiate
crack
catabolize
oxidize
oxidise
rust
pole
reef
miniaturize
shrivel
blast
mummify
weld
unite
consubstantiate
abbreviate
foreshorten
encapsulate
telescope
abate
slake
culture
rotate
double
geminate
triple
quadruple
quintuple
multiply
manifold
proliferate
senesce
age
progress
climb
leapfrog
regress
fossilize
ripen
mature
evolve
elaborate
derive
adolesce
antique
antiquate
incubate
mellow
soften
encrust
effloresce
callus
mollify
balloon
reflate
bulge
swell
distend
expand
belly
tumefy
bilge
leak
damage
total
bruise
disturb
afflict
visit
devastate
repair
tinker
fill
piece
cobble
point
overhaul
retrofit
patch
impair
flaw
dish
bulk
amplify
inflate
deflate
acidify
alkalize
polymerize
copolymerize
ionize
ossify
catalyze
dwindle
remit
paralyze
palsy
stun
immobilize
unblock
mobilize
acerbate
mend
fluctuate
stabilize
peg
ballast
guy
destabilize
sensitize
desensitize
inure
callous
habituate
teach
corrode
fret
erode
weather
regularize
tidy
mess
disorder
perturb
order
predate
postdate
chronologize
straighten
disarrange
rearrange
recode
reshuffle
randomize
serialize
alphabetize
bleach
peroxide
whiten
blacken
melanize
lighten
discolor
blackwash
sallow
bronze
silver
foliate
dye
stain
deep
henna
impress
color
motley
polychrome
azure
purple
aurify
verdigris
pinkify
incarnadine
madder
embrown
handcolor
ebonize
dip
tint
pigment
tincture
imbue
complexion
hue
retouch
hand
batik
redden
grey
yellow
escalate
radiate
effuse
irradiate
bombard
light
floodlight
spotlight
clip
fancify
uglify
blossom
bloom
temper
season
tune
untune
calibrate
time
trim
zero
attune
gear
pitch
set
reset
keynote
regulate
adapt
fit
anglicise
habilitate
capacitate
disqualify
shoehorn
tailor
domesticate
fine
anneal
toughen
widen
constrict
astringe
strangulate
