able
unable
abaxial
adaxial
acroscopic
basiscopic
abducent
adducent
nascent
emergent
dissilient
parturient
dying
moribund
last
abridged
cut
half
potted
unabridged
full
absolute
direct
implicit
infinite
living
relative
relational
absorbent
absorbefacient
assimilating
hygroscopic
receptive
shock
spongy
thirsty
nonabsorbent
repellent
adsorbent
chemisorptive
nonadsorbent
absorbable
adsorbable
abstemious
abstinent
ascetic
gluttonous
crapulous
crapulent
edacious
greedy
hoggish
overgreedy
abstract
conceptional
conceptual
ideal
ideological
concrete
objective
real
abundant
abounding
ample
copious
easy
exuberant
thick
long
overabundant
plentiful
rampant
rank
superabundant
teeming
torrential
verdant
scarce
rare
tight
abused
battered
unabused
acceptable
bankable
unexceptionable
unobjectionable
unacceptable
exceptionable
accessible
approachable
come
handy
inaccessible
outback
pathless
unapproachable
accommodating
complaisant
unaccommodating
disobliging
accurate
close
dead
high
surgical
straight
true
veracious
inaccurate
away
faulty
unfaithful
wide
accustomed
unaccustomed
new
unused
acidic
acid
alkaline
alkalescent
basic
base
saltlike
amphoteric
acidophilic
acknowledged
accepted
self
assumptive
declarable
given
putative
unacknowledged
unappreciated
unavowed
unconfessed
unrecognized
acquisitive
accumulative
avaricious
possessive
plundering
predaceous
rapacious
sordid
unacquisitive
acropetal
basipetal
active
about
acrobatic
agile
hot
hyperactive
sporty
inactive
desk
abeyant
hypoactive
inert
sedentary
activated
off
retired
brisk
bustling
busy
going
open
springy
dark
dull
idle
strikebound
progressive
flat
indolent
latent
quiescent
activist
hands
proactive
passive
resistless
eruptive
dormant
extinct
alive
stative
counteractive
surface
quiet
actual
effective
potential
acute
subacute
chronic
degenerative
virulent
deadly
avirulent
adaptive
accommodative
adaptational
adjustive
maladaptive
dysfunctional
maladjustive
addicted
alcoholic
dependent
unaddicted
clean
addictive
nonaddictive
additive
addable
extra
complemental
incremental
intercalary
summational
supplementary
subtractive
ablative
reductive
addressed
unaddressed
adequate
competent
inadequate
deficient
incapable
short
adhesive
adherent
agglutinate
bondable
coherent
cohesive
gluey
gooey
gum
gummed
pitchy
stick
sticky
nonadhesive
nonglutinous
nonresinous
ungummed
adjective
substantive
adoptable
unadoptable
adorned
beady
bedaubed
bespectacled
brocaded
buttony
carbuncled
champleve
clinquant
crested
crocketed
feathery
frilled
fringed
gilt
inflamed
inlaid
inwrought
tessellated
mounted
paneled
studded
tapestried
tasseled
tricked
tufted
unadorned
plain
untufted
cholinergic
anticholinergic
adroit
clever
coordinated
deft
light
quick
maladroit
bumbling
inept
uncoordinated
unmechanical
advantageous
beneficial
plus
discriminatory
disadvantageous
minus
adventurous
audacious
sporting
swaggering
unadventurous
safe
advisable
better
well
inadvisable
considered
ill
aerobic
aerobiotic
oxidative
anaerobic
aesthetic
artistic
cosmetic
painterly
sensuous
inaesthetic
inartistic
affected
impressed
smitten
stage
subject
taken
wonder
unaffected
immune
superior
unimpressed
uninfluenced
agonistic
artificial
constrained
elocutionary
mannered
plummy
lifelike
unmannered
unselfconscious
unstilted
affirmative
assentient
negative
dissentient
acceptive
accepting
rejective
dismissive
repudiative
afloat
adrift
floating
waterborne
aground
afraid
acrophobic
afeard
aghast
agoraphobic
alarmed
algophobic
apprehensive
hangdog
claustrophobic
fearful
frightened
horrified
hunted
hydrophobic
mysophobic
panicky
numb
shitless
terror
triskaidekaphobic
unnerved
white
xenophobic
unafraid
unapprehensive
unblinking
unfrightened
aggressive
battleful
competitive
hard
hostile
obstreperous
predatory
pugnacious
scrappy
truculent
unaggressive
low
agitated
aroused
distraught
jolted
feverish
frantic
hysterical
psychedelic
wild
unagitated
churning
rippled
seething
stirred
nonturbulent
unstirred
agreeable
disagreeable
harsh
nerve
unsweet
air
alert
argus
fly
heads
lidless
unalert
algorithmic
recursive
heuristic
trial
alienable
appropriable
assignable
inalienable
non
nontransferable
liveborn
viable
vital
asleep
assassinated
bloodless
breathless
cold
deathlike
defunct
doomed
executed
fallen
late
lifeless
murdered
nonviable
slain
stillborn
stone
apocrine
eccrine
artesian
subartesian
live
alphabetic
abecedarian
alphabetized
analphabetic
altricial
precocial
altruistic
egoistic
ambiguous
double
enigmatic
left
multivalent
polysemous
uncertain
unambiguous
monosemous
ambitious
pushful
aspirant
compulsive
manque
overambitious
unambitious
shiftless
ametropic
emmetropic
generous
meager
bare
exiguous
hand
hardscrabble
measly
anabolic
constructive
catabolic
destructive
anaclinal
cataclinal
anastigmatic
astigmatic
anticlinal
synclinal
anadromous
catadromous
diadromous
anabatic
katabatic
anal
oral
analogue
digital
analytic
synthetic
isolating
agglutinative
inflectional
derivational
apocarpous
syncarpous
angry
aggravated
angered
black
choleric
huffy
indignant
irate
livid
smoldering
wrathful
unangry
resentful
acrimonious
rancorous
unresentful
unbitter
sentient
sensate
insentient
unfeeling
animate
inanimate
nonconscious
animated
enlivened
reanimated
unanimated
wan
unenlivened
anonymous
nameless
onymous
binomial
pseudonymous
antemortem
postmortem
antecedent
anterior
anticipatory
preexistent
subsequent
attendant
later
antrorse
retrorse
decurved
aquatic
marine
semiaquatic
subaqueous
terrestrial
onshore
overland
amphibious
amphibiotic
preceding
above
foregoing
introductory
precedent
premedical
preparatory
previous
succeeding
back
ensuing
following
precedented
unprecedented
prehensile
nonprehensile
prenatal
perinatal
postnatal
preprandial
postprandial
prewar
postwar
retrograde
anterograde
antemeridian
postmeridian
frontal
prefrontal
posterior
caudal
retral
dorsal
ventral
dorsoventral
appealable
unappealable
appendaged
unappendaged
appetizing
mouth
unappetizing
offish
appropriate
befitting
grade
pat
proper
inappropriate
unbefitting
improper
due
callable
collect
collectible
delinquent
receivable
out
repayable
undue
apropos
apposite
malapropos
inapposite
apteral
amphiprostylar
prostyle
peripteral
monopteral
peristylar
arbitrable
nonarbitrable
columned
amphistylar
columnar
columniform
colonnaded
pillared
noncolumned
astylar
unpillared
arboreal
nonarboreal
arenaceous
argillaceous
armed
equipped
militarized
unarmed
barehanded
defenseless
weaponless
armored
armor
bony
bulletproof
mail
scaled
unarmored
bristlelike
brushlike
thistlelike
clawed
thornless
armlike
brachiate
one
armless
bone
scaly
silver
scaleless
artful
cute
designing
deep
elusive
manipulative
pawky
artless
careless
articulate
eloquent
speech
inarticulate
aphasic
aphonic
dumb
incoherent
mute
speechless
unarticulated
speaking
tongued
nonspeaking
articulated
jointed
unjointed
ashamed
discredited
embarrassed
guilty
shamefaced
unashamed
shameless
unabashed
assertive
cocky
emphatic
unassertive
nonassertive
reticent
associative
associable
nonassociative
attached
bespoken
intended
involved
unattached
unengaged
affixed
appendant
basifixed
glued
unaffixed
sessile
pedunculate
vagile
free
detached
freestanding
semidetached
stuck
cragfast
unstuck
attachable
bindable
clip
tie
detachable
clastic
wary
shy
unwary
gullible
unguarded
attentive
captive
advertent
observant
oversolicitous
solicitous
inattentive
absent
distracted
dreamy
drowsy
forgetful
attractive
bewitching
charismatic
cunning
dinky
engaging
fetching
glossy
hypnotic
irresistible
personable
photogenic
prepossessing
winsome
unattractive
homely
subfusc
unprepossessing
repulsive
appealing
attention
unappealing
attributable
ascribable
credited
traceable
unattributable
attributive
predicative
pregnant
big
nonpregnant
audible
clunky
sonic
sounding
inaudible
breathed
infrasonic
silent
supersonic
unheard
subsonic
auspicious
bright
fortunate
inauspicious
unpromising
propitious
golden
gracious
unpropitious
thunderous
authorized
accredited
approved
canonized
empowered
unauthorized
unaccredited
constitutional
unconstitutional
autochthonous
allochthonous
autoecious
heteroecious
autogenous
heterogenous
automatic
autoloading
automated
semiautomatic
smart
manual
available
acquirable
addressable
forthcoming
gettable
lendable
visible
purchasable
ready
unavailable
awake
astir
awakened
insomniac
unsleeping
waking
hypnoid
sleepy
slumberous
unawakened
astringent
styptic
nonastringent
aware
conscious
sensible
unaware
oblivious
unconscious
unsuspecting
witting
unwitting
alarming
appalling
atrocious
baleful
bloodcurdling
chilling
creepy
formidable
ghastly
hairy
petrifying
stupefying
terrific
unalarming
anemophilous
entomophilous
reassuring
assuasive
assuring
comforting
unreassuring
backmost
rear
front
advance
foremost
leading
directing
guiding
pursuing
backed
hardbacked
razorback
spiny
stiff
backless
backward
backswept
cacuminal
converse
inverse
rearward
receding
reflexive
regardant
retracted
retroflex
returning
forward
guardant
headfirst
reverse
bashful
brash
bumptious
overfamiliar
fresh
balconied
unbalconied
barreled
unbarreled
beaked
beaklike
billed
duckbill
rostrate
stout
beakless
bedded
single
twin
bedless
beneficed
unbeneficed
stratified
foliate
laminar
layered
sheetlike
unstratified
ferned
braky
fernlike
fernless
grassy
grass
grasslike
rushlike
sedgy
grassless
gusseted
ungusseted
hairless
bald
balding
beardless
depilatory
depilous
glabrescent
glabrous
naked
nonhairy
tonsured
canescent
coarse
comate
curly
downy
floccose
furlike
furred
fuzzed
hispid
lanate
pappose
pilous
rough
silky
smooth
snake
soft
tomentose
velvety
wire
wiry
wooly
awned
bearded
awnless
bearing
load
nonbearing
beautiful
beauteous
bonny
dishy
exquisite
fine
glorious
gorgeous
lovely
picturesque
pretty
pulchritudinous
ravishing
scenic
stunning
ugly
disfigured
evil
fugly
grotesque
hideous
scrofulous
unlovely
unsightly
bellied
bellyless
banded
unbanded
belted
belt
beltlike
unbelted
beneficent
benefic
maleficent
malefic
malicious
despiteful
leering
malevolent
bitchy
poisonous
venomed
vixenish
unmalicious
benign
kindly
malign
cancerous
best
champion
first
optimum
primo
record
second
superfine
unexcelled
unsurpassable
worst
bottom
pessimal
amended
finer
improved
worse
worsened
fitter
bettering
ameliorating
amendatory
corrective
remedial
worsening
bicameral
unicameral
bidirectional
biface
duplex
two
unidirectional
simplex
unifacial
faced
baby
featured
Janus
moon
pale
pug
sad
sweet
visaged
faceless
bibbed
bibless
unilateral
multilateral
bilateral
bipartite
joint
multipartite
quadrilateral
five
six
seven
eight
nine
ten
eleven
twelve
quadripartite
tetramerous
three
four
many
palmately
trilateral
tripartite
bimodal
unimodal
binaural
stereophonic
monaural
mono
binucleate
mononuclear
trinucleate
bipedal
quadrupedal
African
colored
negro
negroid
Caucasian
blond
ash
fair
flaxen
nordic
redheaded
brunet
adust
bronzed
brown
grizzled
nutbrown
blemished
acned
blebbed
blotchy
flyblown
marred
pocked
unblemished
stainless
bloody
blood
bloodstained
bloodsucking
bloodthirsty
crimson
homicidal
gory
internecine
nonviolent
bold
daredevil
emboldened
foolhardy
heroic
nervy
overreaching
overvaliant
timid
coy
intimidated
mousy
bound
chained
fettered
furled
pinioned
tethered
trussed
wired
unbound
unchained
untethered
laced
unlaced
tied
knotted
untied
tangled
afoul
enmeshed
entangled
knotty
matted
rootbound
thrown
untangled
disentangled
brassbound
cased
paperback
looseleaf
bordered
boxed
deckled
edged
lined
sawtoothed
seagirt
unbordered
lotic
lentic
lower
proletarian
propertyless
upper
middle
bourgeois
quality
propertied
tweedy
wellborn
brachycephalic
broad
bullet
dolichocephalic
brave
desperate
gallant
game
lionhearted
stalwart
undaunted
valiant
cowardly
caitiff
chicken
craven
dastard
faint
funky
poltroon
pusillanimous
gutsy
gutless
breast
nursed
bottle
breathing
asphyxiating
smothering
blown
crystalline
crystallized
microcrystalline
polycrystalline
noncrystalline
amorphous
landed
landless
ablaze
autofluorescent
bioluminescent
candescent
floodlit
fluorescent
illuminated
incandescent
lamplit
lighting
luminescent
phosphorescent
sunlit
Acheronian
aphotic
caliginous
Cimmerian
crepuscular
darkened
darkening
darkling
dim
dusky
glooming
lightless
semidark
tenebrous
shaded
murky
shady
unshaded
unshadowed
hatched
moonlit
moonless
bridgeable
unbridgeable
agleam
aglow
beaming
blazing
brilliant
ardent
glimmery
glistening
iridescent
lurid
noctilucent
satiny
shimmery
twinkling
lackluster
dimmed
undimmed
prejudiced
homophobic
jaundiced
loaded
racist
sexist
unprejudiced
color
catholic
narrow
dogmatic
illiberal
opinionated
petty
reconstructed
unreconstructed
broken
unbroken
dashed
fitful
halting
solid
uninterrupted
brotherly
sisterly
exergonic
endergonic
fraternal
identical
buried
belowground
unburied
drudging
engaged
overbusy
faineant
lackadaisical
leisured
boned
bonelike
strong
boneless
buttoned
botonee
button
unbuttoned
capitalistic
individualistic
socialistic
collective
collectivist
cacophonous
cackly
croaky
grating
gruff
jangling
jarring
raucous
rending
euphonious
silvern
calculable
computable
countable
incalculable
incomputable
indeterminable
calm
placid
settled
windless
stormy
billowy
blustering
boisterous
blowy
choppy
dirty
gusty
squally
thundery
camphorated
uncamphorated
capable
confident
resourceful
cared
attended
uncared
neglected
untended
careful
blow
certain
conscientious
detailed
minute
overcareful
particular
protective
studious
thorough
casual
haphazard
heedless
incautious
offhand
carnivorous
flesh
piscivorous
predacious
herbivorous
anthophagous
baccivorous
carpophagous
plant
saprophagous
saprophytic
omnivorous
all
insectivorous
apivorous
myrmecophagous
holozoic
holophytic
carpellate
acarpelous
carpeted
uncarpeted
carvel
flush
clinker
carved
engraved
graven
lapidarian
sliced
uncarved
acatalectic
catalectic
hypercatalectic
cauline
radical
censored
expurgated
uncensored
unexpurgated
caudate
bobtail
tailed
scissor
square
swallow
tail
acaudate
anurous
caulescent
cylindrical
leafy
multi
weak
woolly
woody
acaulescent
causative
abortifacient
activating
anorectic
causal
conducive
errhine
fast
inductive
motivative
motive
precipitating
responsible
sternutatory
noncausative
cautious
cagey
fabian
gingerly
guarded
overcautious
hotheaded
cellular
cancellate
alveolate
cell
lymphoblast
multicellular
noncellular
compartmented
compartmental
uncompartmented
porous
porose
nonporous
central
amidship
bicentric
bifocal
center
centered
centric
focal
median
middlemost
nuclear
peripheral
circumferential
fringy
encircling
centrifugal
outward
centripetal
inward
afferent
corticoafferent
efferent
corticoefferent
neuromotor
centralizing
consolidative
decentralizing
definite
indisputable
indefinite
convinced
ambivalent
doubtful
groping
unconvinced
dubious
assured
cocksure
reassured
diffident
foreordained
chancy
contingent
certified
certifiable
certificated
credentialled
uncertified
inevitable
fatal
ineluctable
necessary
evitable
preventable
unpreventable
changeable
adjustable
astatic
checkered
distortable
erratic
fluid
jittering
kaleidoscopic
